"Unique ID ","Parent","Name","Tier 1 Parent","Tier (1-4)","Important to NBCU","AG NOTES","Additional signals (e.g., objects, scene settings)","Object signals","Scene signals","Example Advertiser Industry","Logo signals","Explicit Triggers","Date Selected",""
"478","473","Holiday Shopping","Shopping","2","Y","","","holiday_decoration; santa_claus","","","","","3/9/2021",""
"479","473","Household Supplies","Shopping","2","Y","","washing machine, dishwasher, cleaning supplies, faucets, sinks, shower curtains","","","","logos for all relevant brands","","3/9/2021",""
"482","473","Children's Games and Toys","Shopping","2","Y","","legos, building blocks, stuffed animals","","","","","","3/9/2021",""
"282","274","Indoor Environmental Quality","Home & Garden","2","N","","","","","","","","",""
"283","274","Interior Decorating","Home & Garden","2","N","","","","","","","","",""
"553","552","Beauty","Style & Fashion","2","Y","","","","","","logos for all relevant brands","","3/9/2021",""
"285","274","Outdoor Decorating","Home & Garden","2","N","","","","","","","","",""
"632","596","Consumer Electronics","Technology & Computing","2","Y","","portable charger, speakers, headphones","laptop; cellphone; tablet; camera","","","logos for all relevant brands","","3/9/2021",""
"287","286","Diseases and Conditions","Medical Health","2","N","","","","","","","","",""
"288","287","Allergies","Medical Health","3","N","","","","","","","","",""
"289","287","Ear, Nose and Throat Conditions","Medical Health","3","N","","","","","","","","",""
"290","287","Endocrine and Metabolic Diseases","Medical Health","3","N","","","","","","","","",""
"291","290","Hormonal Disorders","Medical Health","4","N","","","","","","","","",""
"292","290","Menopause","Medical Health","4","N","","","","","","","","",""
"293","290","Thyroid Disorders","Medical Health","4","N","","","","","","","","",""
"294","287","Eye and Vision Conditions","Medical Health","3","N","","","","","","","","",""
"295","287","Foot Health","Medical Health","3","N","","","","","","","","",""
"296","287","Heart and Cardiovascular Diseases","Medical Health","3","N","","","","","","","","",""
"297","287","Infectious Diseases","Medical Health","3","N","","","","","","","","",""
"298","287","Injuries","Medical Health","3","N","","","","","","","","",""
"299","298","First Aid","Medical Health","4","N","","","","","","","","",""
"300","287","Lung and Respiratory Health","Medical Health","3","N","","","","","","","","",""
"301","287","Mental Health","Medical Health","3","N","","","","","","","","",""
