materialId,lastRunJob
GMO_00000000002019_01,FILE_MAF_20210730T133042Z_GMO_00000000002019_01
GMO_00000000002187_01,FILE_MAF_20210730T172645Z_GMO_00000000002187_01
GMO_00000000002347_01,FILE_MAF_20210728T014822Z_GMO_00000000002347_01
GMO_00000000002357_01,FILE_MAF_20210728T014822Z_GMO_00000000002357_01
GMO_00000000002166_01,FILE_MAF_20220212T143304Z_GMO_00000000002166_01
GMO_00000000002341_01,FILE_MAF_20220212T143410Z_GMO_00000000002341_01
GMO_00000000002342_01,FILE_MAF_20220212T143411Z_GMO_00000000002342_01
GMO_00000000002363_01,FILE_MAF_20220212T143410Z_GMO_00000000002363_01
GMO_00000000002025_01,FILE_MAF_20220211T225421Z_GMO_00000000002025_01
GMO_00000000002339_01,FILE_MAF_20220212T143306Z_GMO_00000000002339_01
GMO_00000000002340_01,FILE_MAF_20220212T143409Z_GMO_00000000002340_01
GMO_00000000002346_01,FILE_MAF_20210728T014824Z_GMO_00000000002346_01
GMO_00000000002061_01,FILE_MAF_20210730T150002Z_GMO_00000000002061_01
GMO_00000000002072_01,FILE_MAF_20210730T172335Z_GMO_00000000002072_01
GMO_00000000002354_01,FILE_MAF_20220212T143411Z_GMO_00000000002354_01
GMO_00000000002111_01,FILE_MAF_20210730T172332Z_GMO_00000000002111_01
GMO_00000000002356_01,FILE_MAF_20220212T143412Z_GMO_00000000002356_01
GMO_00000000002368_01,FILE_MAF_20220212T153923Z_GMO_00000000002368_01
GMO_00000000002373_01,FILE_MAF_20210728T014826Z_GMO_00000000002373_01
GMO_00000000002372_01,FILE_MAF_20210728T014827Z_GMO_00000000002372_01
GMO_00000000002389_01,FILE_MAF_20220212T153920Z_GMO_00000000002389_01
GMO_00000000002410_01,FILE_MAF_20220212T155729Z_GMO_00000000002410_01
GMO_00000000002115_01,FILE_MAF_20220212T143257Z_GMO_00000000002115_01
GMO_00000000002133_01,FILE_MAF_20220212T143258Z_GMO_00000000002133_01
GMO_00000000002407_01,FILE_MAF_20210728T014828Z_GMO_00000000002407_01
GMO_00000000002487_01,FILE_MAF_20220212T160932Z_GMO_00000000002487_01
GMO_00000000002392_01,FILE_MAF_20210728T014829Z_GMO_00000000002392_01
GMO_00000000002416_01,FILE_MAF_20220212T153923Z_GMO_00000000002416_01
GMO_00000000006302_01,FILE_MAF_20220212T191135Z_GMO_00000000006302_01
GMO_00000000002504_01,FILE_MAF_20220212T161334Z_GMO_00000000002504_01
GMO_00000000006678_01,FILE_MAF_20210728T014830Z_GMO_00000000006678_01
GMO_00000000004557_01,FILE_MAF_20220212T190834Z_GMO_00000000004557_01
GMO_00000000002806_01,FILE_MAF_20210728T015031Z_GMO_00000000002806_01
GMO_00000000006658_01,FILE_MAF_20210728T015031Z_GMO_00000000006658_01
GMO_00000000006669_01,FILE_MAF_20210728T015031Z_GMO_00000000006669_01
GMO_00000000006701_01,FILE_MAF_20210728T015031Z_GMO_00000000006701_01
GMO_00000000002164_01,FILE_MAF_20220212T143303Z_GMO_00000000002164_01
GMO_00000000002386_01,FILE_MAF_20220212T153919Z_GMO_00000000002386_01
GMO_00000000006702_01,FILE_MAF_20210728T015032Z_GMO_00000000006702_01
GMO_00000000002390_01,FILE_MAF_20220212T153920Z_GMO_00000000002390_01
GMO_00000000002394_01,FILE_MAF_20210728T015033Z_GMO_00000000002394_01
GMO_00000000002423_01,FILE_MAF_20220212T160731Z_GMO_00000000002423_01
GMO_00000000002391_01,FILE_MAF_20220212T153922Z_GMO_00000000002391_01
GMO_00000000006672_01,FILE_MAF_20210728T015034Z_GMO_00000000006672_01
GMO_00000000002393_01,FILE_MAF_20210728T015035Z_GMO_00000000002393_01
GMO_00000000002518_01,FILE_MAF_20220212T160129Z_GMO_00000000002518_01
GMO_00000000002546_01,FILE_MAF_20210728T015035Z_GMO_00000000002546_01
GMO_00000000002623_01,FILE_MAF_20220212T165148Z_GMO_00000000002623_01
GMO_00000000003891_01,FILE_MAF_20210728T015035Z_GMO_00000000003891_01
GMO_00000000006655_01,FILE_MAF_20210728T015036Z_GMO_00000000006655_01
GMO_00000000006690_01,FILE_MAF_20210728T015036Z_GMO_00000000006690_01
GMO_00000000006694_01,FILE_MAF_20210728T015036Z_GMO_00000000006694_01
GMO_00000000002619_01,FILE_MAF_20220212T153921Z_GMO_00000000002619_01
GMO_00000000002733_01,FILE_MAF_20220212T165149Z_GMO_00000000002733_01
GMO_00000000003889_01,FILE_MAF_20210728T015137Z_GMO_00000000003889_01
GMO_00000000003890_01,FILE_MAF_20210728T015138Z_GMO_00000000003890_01
GMO_00000000006675_01,FILE_MAF_20210728T015138Z_GMO_00000000006675_01
GMO_00000000006679_01,FILE_MAF_20210728T015138Z_GMO_00000000006679_01
GMO_00000000006700_01,FILE_MAF_20210728T015139Z_GMO_00000000006700_01
GMO_00000000006721_01,FILE_MAF_20210728T015139Z_GMO_00000000006721_01
GMO_00000000006743_01,FILE_MAF_20210728T162801Z_GMO_00000000006743_01
GMO_00000000006737_01,FILE_MAF_20210728T162802Z_GMO_00000000006737_01
GMO_00000000006801_01,FILE_MAF_20210728T162803Z_GMO_00000000006801_01
GMO_00000000006730_01,FILE_MAF_20210728T162804Z_GMO_00000000006730_01
GMO_00000000006804_01,FILE_MAF_20210728T162804Z_GMO_00000000006804_01
GMO_00000000006880_01,FILE_MAF_20210728T162805Z_GMO_00000000006880_01
GMO_00000000006735_01,FILE_MAF_20210728T162806Z_GMO_00000000006735_01
GMO_00000000006812_01,FILE_MAF_20210728T162806Z_GMO_00000000006812_01
GMO_00000000006768_01,FILE_MAF_20210728T162807Z_GMO_00000000006768_01
GMO_00000000006842_01,FILE_MAF_20210728T162807Z_GMO_00000000006842_01
GMO_00000000006895_01,FILE_MAF_20210728T162808Z_GMO_00000000006895_01
GMO_00000000006914_01,FILE_MAF_20210728T162808Z_GMO_00000000006914_01
GMO_00000000006781_01,FILE_MAF_20210728T162809Z_GMO_00000000006781_01
GMO_00000000006790_01,FILE_MAF_20210728T162810Z_GMO_00000000006790_01
GMO_00000000006956_01,FILE_MAF_20210728T162811Z_GMO_00000000006956_01
GMO_00000000006923_01,FILE_MAF_20210728T162812Z_GMO_00000000006923_01
GMO_00000000006940_01,FILE_MAF_20210728T162812Z_GMO_00000000006940_01
GMO_00000000006746_01,FILE_MAF_20210728T162813Z_GMO_00000000006746_01
GMO_00000000006897_01,FILE_MAF_20210728T162814Z_GMO_00000000006897_01
GMO_00000000006974_01,FILE_MAF_20210728T162814Z_GMO_00000000006974_01
GMO_00000000006827_01,FILE_MAF_20210728T162815Z_GMO_00000000006827_01
GMO_00000000006901_01,FILE_MAF_20210728T162815Z_GMO_00000000006901_01
GMO_00000000006986_01,FILE_MAF_20210728T162816Z_GMO_00000000006986_01
GMO_00000000006990_01,FILE_MAF_20210728T162817Z_GMO_00000000006990_01
GMO_00000000007015_01,FILE_MAF_20210728T162818Z_GMO_00000000007015_01
GMO_00000000006738_01,FILE_MAF_20210728T162819Z_GMO_00000000006738_01
GMO_00000000006944_01,FILE_MAF_20210728T162819Z_GMO_00000000006944_01
GMO_00000000006863_01,FILE_MAF_20210728T162820Z_GMO_00000000006863_01
GMO_00000000006824_01,FILE_MAF_20210728T162821Z_GMO_00000000006824_01
GMO_00000000006935_01,FILE_MAF_20210728T162822Z_GMO_00000000006935_01
GMO_00000000006756_01,FILE_MAF_20210728T162824Z_GMO_00000000006756_01
GMO_00000000006965_01,FILE_MAF_20210728T162824Z_GMO_00000000006965_01
GMO_00000000006769_01,FILE_MAF_20210728T162825Z_GMO_00000000006769_01
GMO_00000000006870_01,FILE_MAF_20210728T162825Z_GMO_00000000006870_01
GMO_00000000006981_01,FILE_MAF_20210728T162825Z_GMO_00000000006981_01
GMO_00000000006970_01,FILE_MAF_20210728T162826Z_GMO_00000000006970_01
GMO_00000000007037_01,FILE_MAF_20210728T163436Z_GMO_00000000007037_01
GMO_00000000007070_01,FILE_MAF_20210728T162826Z_GMO_00000000007070_01
GMO_00000000006873_01,FILE_MAF_20210728T162827Z_GMO_00000000006873_01
